fs, files, files.sec
btrfs, 1840000, 235.077806
btrfs, 1850000, 234.496334
btrfs, 1860000, 231.543278
btrfs, 1870000, 232.370559
btrfs, 1880000, 233.352669
btrfs, 1890000, 229.377624
btrfs, 1900000, 230.174509
btrfs, 1910000, 229.711363
btrfs, 1920000, 229.498578
btrfs, 1930000, 227.158684
btrfs, 1940000, 226.928718
btrfs, 1950000, 226.308591
btrfs, 1960000, 225.938272
btrfs, 1970000, 226.577122
btrfs, 1980000, 225.044939
btrfs, 1990000, 225.453414
btrfs, 2000000, 226.357672
btrfs, 2010000, 223.162618
btrfs, 2020000, 223.288943
btrfs, 2030000, 222.825493
btrfs, 2040000, 220.479657
btrfs, 2050000, 221.558064
btrfs, 2060000, 219.706907
btrfs, 2070000, 220.210252
btrfs, 2080000, 219.592575
btrfs, 2090000, 219.611156
btrfs, 2100000, 219.299204
btrfs, 2110000, 219.869446
btrfs, 2120000, 217.113149
btrfs, 2130000, 218.132195
btrfs, 2140000, 216.339505
btrfs, 2150000, 216.179482
btrfs, 2160000, 214.723849
btrfs, 2170000, 215.331124
btrfs, 2180000, 213.004480
btrfs, 2190000, 213.018643
btrfs, 2200000, 211.106017
btrfs, 2210000, 210.868791
btrfs, 2220000, 209.941317
btrfs, 2230000, 208.967216
btrfs, 2240000, 208.352669
btrfs, 2250000, 209.279536
btrfs, 2260000, 207.055860
btrfs, 2270000, 207.458933
btrfs, 2280000, 206.339462
btrfs, 2290000, 205.465713
btrfs, 2300000, 205.568233
btrfs, 2310000, 204.167153
btrfs, 2320000, 202.951026
btrfs, 2330000, 202.507979
btrfs, 2340000, 199.362870
btrfs, 2350000, 200.203378
btrfs, 2360000, 198.056351
btrfs, 2370000, 196.022498
btrfs, 2380000, 195.924602
btrfs, 2390000, 192.869537
btrfs, 2400000, 192.096402
btrfs, 2410000, 189.555543
btrfs, 2420000, 189.474540
btrfs, 2430000, 186.484018
btrfs, 2440000, 185.829384
btrfs, 2450000, 183.426249
btrfs, 2460000, 183.291810
btrfs, 2470000, 184.035407
btrfs, 2480000, 184.705144
btrfs, 2490000, 184.907274
