4kbfiles betrfsaged betrfsclean ext4aged ext4clean xfsaged xfsclean btrfsaged btrfsclean zfsaged zfsclean betrfsagedlayout betrfscleanlayout ext4agedlayout ext4cleanlayout xfsagedlayout xfscleanlayout btrfsagedlayout btrfscleanlayout zfsagedlayout zfscleanlayout
2100 38.32107143 19.56443452 1220.960506 168.8273512 116.709494 36.13616071 263.5877976 48.60925595 1225.283006 111.1591667 0.9961373391 0.9887640449 0.04741511165 0.193331294 0.0427574171 0.9157940663 0.005668016194 0.9107285829 0.0008378718056 0.2159725204
2200 22.99946023 22.45465909 1187.229205 159.0584943 124.5399432 37.75289773 430.9549716 47.23619318 1355.816619 96.499375 0.9975328947 0.9888123924 0.048 0.1848888889 0.0425 0.91625 0.003868471954 0.9125095932 0.0008003201281 0.2186218212
2300 28.96589674 26.50024457 1248.815489 187.0797554 119.8350272 43.6376087 304.5073913 43.58144022 1359.563342 94.881875 0.9968416897 0.9897076986 0.04740017236 0.1835679402 0.04189944134 0.9173982442 0.004074074074 0.9038884813 0.0007645259939 0.2474668745
2400 37.32078125 45.66057292 1401.44487 171.225599 119.2814063 31.14325521 334.652474 48.71630208 1251.920469 92.25382813 0.9966948219 0.9889459139 0.04738015608 0.1920289855 0.04134762634 0.9184532925 0.00355366027 0.9006320225 0.0007291286912 0.1969299888
2500 32.969225 28.1227 1421.117325 152.870325 212.227775 35.9045 398.15795 44.88985 1337.9424 115.125875 0.9968141593 0.9916666667 0.04763193505 0.19707634 0.0408388521 0.9194260486 0.00443989071 0.9200271095 0.0006983240223 0.2083931133
2600 17.23567308 25.23759615 1424.750721 150.0907692 233.4366106 34.85838942 571.8666346 50.44973558 1340.949952 94.6253125 0.9968847352 0.9896487985 0.04789473684 0.1892105263 0.04036827195 0.920325779 0.003948667325 0.9015645372 0.001339136257 0.2164665523
2700 23.67666667 23.07731481 1363.841644 171.6875231 315.2098148 35.74071759 460.8730324 55.41645833 1341.235023 106.1707407 0.9968814969 0.9895495496 0.04736303123 0.1879160266 0.03993174061 0.9211604096 0.00253968254 0.9010400252 0.0009658725048 0.2146855449
2800 15.01138393 27.713125 1363.527411 148.5221652 330.4390625 33.26683036 556.2465402 40.51323661 1351.945781 145.8293973 0.9969979987 0.9899861878 0.04760717846 0.1881854437 0.0395256917 0.9219367589 0.003676470588 0.9041970803 0.001242621932 0.2061068702
2900 17.94637931 42.61864224 1386.727931 134.1786853 399.9436853 31.8862931 535.7854526 47.35088362 1339.397478 93.35146552 0.9980732177 0.9886287625 0.04856726566 0.1777130371 0.0391470401 0.9226607257 0.004145691442 0.9123013537 0.0005991611744 0.2091883614
3000 16.6265625 24.19335417 1366.681104 138.3890625 437.5303958 34.45322917 603.2548542 44.52577083 1427.1455 104.4683125 0.9969604863 0.9898509356 0.04899408284 0.1881656805 0.03937250077 0.9218701938 0.004587155963 0.9187730758 0.0008693132425 0.2211367673
3100 21.29935484 24.17086694 1346.369032 137.4086089 484.2284274 32.4346371 637.3330242 41.49502016 1355.07129 91.12278226 0.9976317348 0.9868708972 0.04964211499 0.1812514431 0.03902293715 0.9225498957 0.004168982768 0.9047619048 0.0002801120448 0.2126502576
3200 18.58142578 22.41175781 1336.599668 132.1255859 521.9840039 32.62660156 630.7473047 39.32986328 1389.786484 107.6427148 0.9968625214 0.9884673748 0.0493576741 0.184358801 0.03869477332 0.9234767543 0.004039859952 0.9135670324 0.0002707825616 0.2096238938
3300 21.00814394 21.44774621 1296.325436 154.1881629 540.2605871 31.35981061 697.5876705 45.30611742 1399.235947 88.81160985 0.9977502812 0.9894024139 0.04930662558 0.1809377064 0.03866629308 0.923788176 0.002874314084 0.915693904 0.0005247966413 0.2173329756
3400 17.1740625 21.00908088 1379.332868 161.5309007 569.698511 32.34511029 765.5832169 50.51384191 1352.317463 115.7438971 0.9969179042 0.989033189 0.04924731183 0.1875268817 0.03836734694 0.9243537415 0.00381000762 0.9041991451 0.000508517671 0.2261750195
3500 20.57567857 21.04483929 1306.862125 138.01575 608.1087679 32.26439286 749.0765536 41.90439286 1408.504054 91.10596429 0.9978213508 0.9891576314 0.04941126997 0.1722035324 0.03808516266 0.9248875959 0.002963694739 0.9034313725 0.0004933399112 0.2089740358
3600 14.01690972 18.89678819 1329.576302 135.7999132 619.460625 37.37460069 798.8956424 43.97960069 1477.29125 94.01022569 0.9973635645 0.9905379832 0.04956807898 0.178527355 0.03781836892 0.9253923334 0.004564016334 0.9146196041 0.0007180469124 0.2147930443
3700 18.91113176 19.9460473 1354.017466 135.3829223 661.209223 31.82733108 790.2483277 46.73836149 1462.091081 95.71827703 0.9979296066 0.9918528252 0.0499194847 0.1731078905 0.03756574005 0.925870273 0.00350877193 0.9211077496 0.0006975122065 0.2205812292
