fs, data.set, circle.size.4kb, op, time.s
BetrFS-0.2, linuxsrc, 32, grep, 6.722
BetrFS-0.2, linuxsrc, 32, grep, 6.805
BetrFS-0.2, linuxsrc, 32, grep, 6.689
BetrFS-0.2, linuxsrc, 32, grep, 7.346
BetrFS-0.2, linuxsrc, 32, grep, 6.730
BetrFS-0.2, linuxsrc, 32, grep, 6.797
BetrFS-0.2, linuxsrc, 32, grep, 7.130
BetrFS-0.2, linuxsrc, 32, grep, 8.133
######################################
BetrFS-0.2, linuxsrc, 16, grep, 6.630
BetrFS-0.2, linuxsrc, 16, grep, 7.074
BetrFS-0.2, linuxsrc, 16, grep, 6.448
BetrFS-0.2, linuxsrc, 16, grep, 7.081
BetrFS-0.2, linuxsrc, 16, grep, 6.465
BetrFS-0.2, linuxsrc, 16, grep, 6.607
BetrFS-0.2, linuxsrc, 16, grep, 6.774
BetrFS-0.2, linuxsrc, 16, grep, 6.899
BetrFS-0.2, linuxsrc, 16, grep, 7.356
BetrFS-0.2, linuxsrc, 16, grep, 6.715
BetrFS-0.2, linuxsrc, 16, grep, 6.748
BetrFS-0.2, linuxsrc, 16, grep, 7.048
BetrFS-0.2, linuxsrc, 16, grep, 6.607
BetrFS-0.2, linuxsrc, 16, grep, 6.691
BetrFS-0.2, linuxsrc, 16, grep, 6.790
BetrFS-0.2, linuxsrc, 16, grep, 6.874
BetrFS-0.2, linuxsrc, 16, grep, 7.281
BetrFS-0.2, linuxsrc, 16, grep, 6.940
BetrFS-0.2, linuxsrc, 16, grep, 6.859
BetrFS-0.2, linuxsrc, 16, grep, 7.325
BetrFS-0.2, linuxsrc, 16, grep, 6.834
BetrFS-0.2, linuxsrc, 16, grep, 6.867
BetrFS-0.2, linuxsrc, 16, grep, 6.925
BetrFS-0.2, linuxsrc, 16, grep, 6.876
BetrFS-0.2, linuxsrc, 16, grep, 7.283
BetrFS-0.2, linuxsrc, 16, grep, 6.892
BetrFS-0.2, linuxsrc, 16, grep, 6.901
BetrFS-0.2, linuxsrc, 16, grep, 7.359
BetrFS-0.2, linuxsrc, 16, grep, 6.919
BetrFS-0.2, linuxsrc, 16, grep, 6.909
BetrFS-0.2, linuxsrc, 16, grep, 6.826
BetrFS-0.2, linuxsrc, 16, grep, 6.868
BetrFS-0.2, linuxsrc, 16, grep, 7.396
BetrFS-0.2, linuxsrc, 16, grep, 6.901
BetrFS-0.2, linuxsrc, 16, grep, 6.826
BetrFS-0.2, linuxsrc, 16, grep, 7.317
BetrFS-0.2, linuxsrc, 16, grep, 6.892
BetrFS-0.2, linuxsrc, 16, grep, 6.951
BetrFS-0.2, linuxsrc, 16, grep, 7.408
BetrFS-0.2, linuxsrc, 16, grep, 6.851
BetrFS-0.2, linuxsrc, 16, grep, 6.834
BetrFS-0.2, linuxsrc, 16, grep, 6.917
BetrFS-0.2, linuxsrc, 16, grep, 6.867
BetrFS-0.2, linuxsrc, 16, grep, 7.359
BetrFS-0.2, linuxsrc, 16, grep, 7.269
BetrFS-0.2, linuxsrc, 16, grep, 7.100
BetrFS-0.2, linuxsrc, 16, grep, 7.142
BetrFS-0.2, linuxsrc, 16, grep, 7.042
BetrFS-0.2, linuxsrc, 16, grep, 7.013
BetrFS-0.2, linuxsrc, 16, grep, 6.892
######################################
BetrFS-0.2, linuxsrc, 8, grep, 6.879
BetrFS-0.2, linuxsrc, 8, grep, 5.963
BetrFS-0.2, linuxsrc, 8, grep, 5.990
BetrFS-0.2, linuxsrc, 8, grep, 6.217
BetrFS-0.2, linuxsrc, 8, grep, 6.391
BetrFS-0.2, linuxsrc, 8, grep, 6.525
BetrFS-0.2, linuxsrc, 8, grep, 6.291
BetrFS-0.2, linuxsrc, 8, grep, 6.620
BetrFS-0.2, linuxsrc, 8, grep, 7.349
BetrFS-0.2, linuxsrc, 8, grep, 6.366
BetrFS-0.2, linuxsrc, 8, grep, 6.575
BetrFS-0.2, linuxsrc, 8, grep, 6.516
BetrFS-0.2, linuxsrc, 8, grep, 6.586
BetrFS-0.2, linuxsrc, 8, grep, 6.769
BetrFS-0.2, linuxsrc, 8, grep, 6.626
BetrFS-0.2, linuxsrc, 8, grep, 6.608
BetrFS-0.2, linuxsrc, 8, grep, 7.091
BetrFS-0.2, linuxsrc, 8, grep, 6.600
BetrFS-0.2, linuxsrc, 8, grep, 6.799
BetrFS-0.2, linuxsrc, 8, grep, 7.258
BetrFS-0.2, linuxsrc, 8, grep, 6.733
BetrFS-0.2, linuxsrc, 8, grep, 6.733
BetrFS-0.2, linuxsrc, 8, grep, 6.641
BetrFS-0.2, linuxsrc, 8, grep, 6.600
BetrFS-0.2, linuxsrc, 8, grep, 7.202
BetrFS-0.2, linuxsrc, 8, grep, 6.650
BetrFS-0.2, linuxsrc, 8, grep, 6.578
BetrFS-0.2, linuxsrc, 8, grep, 7.149
BetrFS-0.2, linuxsrc, 8, grep, 6.600
BetrFS-0.2, linuxsrc, 8, grep, 6.717
BetrFS-0.2, linuxsrc, 8, grep, 6.658
BetrFS-0.2, linuxsrc, 8, grep, 6.717
BetrFS-0.2, linuxsrc, 8, grep, 7.061
BetrFS-0.2, linuxsrc, 8, grep, 6.533
BetrFS-0.2, linuxsrc, 8, grep, 6.741
BetrFS-0.2, linuxsrc, 8, grep, 6.958
BetrFS-0.2, linuxsrc, 8, grep, 6.750
BetrFS-0.2, linuxsrc, 8, grep, 6.600
BetrFS-0.2, linuxsrc, 8, grep, 6.726
BetrFS-0.2, linuxsrc, 8, grep, 6.683
BetrFS-0.2, linuxsrc, 8, grep, 6.633
