insertions,bins,balls,alpha,perc,observed,lower bound,upper bound
1.91,3533,14606,1.72810835527,1.56682857554,5.13148984199,4.18942730544,15.5529751974
1.92,3581,14606,1.75158675919,1.57556552807,4.94414607948,4.13004469251,15.7642808327
1.93,3601,14824,1.76136942749,1.57834845866,4.98125,4.16712913182,15.8523248474
1.94,3632,15478,1.75946888561,1.58039155664,4.82148670646,4.31133476593,15.8352199705
1.95,3672,15478,1.77789511786,1.58042537793,4.87411056377,4.26133061407,16.0010560608
1.96,3690,14824,1.78661029001,1.5807963991,5.09742120344,4.06020312582,16.0794926101
1.97,3735,15696,1.78548576163,1.56986118327,4.82648648649,4.24373286317,16.0693718546
1.98,3766,15260,1.76500106555,1.56698213053,4.93957404656,4.08951906644,15.88500959
1.99,3795,15914,1.77859241736,1.56294039887,4.68757259001,4.22991442893,16.0073317562
2.0,3824,16786,1.79218376916,1.56134680988,5.03824200913,4.42549955148,16.1296539225
2.01,3854,14824,1.78504885343,1.53672511973,5.18819374369,3.87571255789,14.2803908275
2.02,3875,17658,1.79477537806,1.5126538607,4.86956521739,4.58979545238,17.9477537806
2.03,3892,16350,1.80264923133,1.46349502701,4.9984423676,4.22985901841,16.223843082
2.04,3910,16568,1.81098625245,1.31818959598,4.91573364761,4.26517622426,16.298876272
2.05,3926,18094,1.81839693788,1.25624979503,5.33628318584,4.63770295413,18.1839693788
2.06,3944,17440,1.77512508259,1.24138110457,5.50172018349,4.44810945627,15.9761257433
2.07,3958,17876,1.76286787782,1.23312111585,5.35147928994,4.54197552906,17.6286787782
2.08,3973,17004,1.76255492423,1.22662236364,5.47805139186,4.3030024361,15.862994318
2.09,3981,17876,1.76610399027,1.22290344469,5.24647887324,4.51395937805,15.8949359124
2.1,3993,16350,1.77142758934,1.21966118914,5.15974776668,4.11541396332,15.942848304
2.11,4007,18094,1.77763845491,1.21473118232,5.35262847017,4.53738452594,17.7763845491
2.12,4015,17222,1.78118752096,1.21300184381,5.29671513193,4.30957455921,16.0306876886
2.13,4024,16350,1.78518022026,1.21079831022,5.22558746736,4.0817215527,16.0666219823
2.14,4029,18312,1.78739838653,1.20857086689,5.30663329161,4.56548333358,17.8739838653
2.15,4035,16786,1.72649231879,1.20829129561,5.1928721174,4.17839008239,15.5384308691
2.16,4042,17876,1.71395326523,1.20848462655,5.28801431127,4.44145833985,15.4255793871
2.17,4051,18530,1.70239364342,1.20636454502,5.48890186916,4.59307442563,17.0239364342
2.18,4058,18530,1.70507681095,1.20651563535,5.58540925267,4.58462479057,17.0507681095
2.19,4061,18094,1.70633734087,1.20689997494,5.58411214953,4.4732626212,15.3570360678
2.2,4066,17658,1.70843822408,1.20639262254,5.53710624666,4.35986229786,15.3759440167
2.21,4069,18530,1.709698754,1.20672042228,5.39934533552,4.57162617198,17.09698754
