round betrfs_time btrfs_time ext4_time f2fs_time xfs_time zfs_time
62 6.80500000001 6.2366875 7.34999999999 6.59031250001 6.75099999999 8.10893750001
63 6.76675000001 6.24425000001 6.89331249999 6.5444375 6.55124999999 8.2515
64 6.81100000001 6.32606249999 6.673375 6.52450000001 7.03568749999 8.4874375
65 6.84956250001 6.2128125 6.85718749999 6.67081249999 7.64331250001 8.4339375
66 6.82937499999 6.12656249999 6.82443750001 6.43249999999 7.24406250001 8.1916875
67 6.80868749999 6.198125 6.98274999999 6.4425 7.0543125 7.91043749999
68 6.83618749999 6.236375 6.97068750001 6.42275 7.04199999999 8.54512499999
69 6.80500000001 6.18450000001 6.7310625 6.1685 7.1148125 7.90262500001
70 6.85975000001 6.47025 7.3974375 6.36456249999 7.93037500001 7.71962500001
71 6.81368750001 6.3423125 7.29831249999 6.38137499999 8.00374999999 7.54425
72 6.79662500001 6.28018750001 7.6850625 6.44587500001 8.42399999999 7.81899999999
73 6.83174999999 6.33649999999 7.66906250001 6.3575 8.45050000001 7.91856249999
74 6.83225000001 6.44324999999 7.59406249999 6.2321875 8.13168750001 7.95975000001
75 6.8120625 6.63068750001 7.789125 6.25837500001 8.04468750001 7.916
76 6.78325000001 6.50093749999 7.95081249999 6.2809375 8.26456249999 7.29468749999
77 6.803125 6.48781249999 8.13537499999 5.86206250001 8.55925 7.68581250001
78 6.81912500001 6.57874999999 7.8779375 6.08018749999 8.3 7.6356875
79 6.84462499999 6.386875 8.053875 6.040875 8.1880625 7.52381249999
80 6.79374999999 6.2749375 8.05068750001 5.96299999999 8.6905625 7.96575000001
81 6.828875 6.22325 8.02318749999 5.8885625 8.34637500001 7.94481250001
82 6.80868749999 6.12262499999 8.01424999999 6.0728125 8.56031249999 7.76418749999
83 6.839375 6.14412500001 8.2876875 5.896375 8.767375 7.86799999999
84 6.8521875 6.12525000001 8.25518750001 5.831125 8.87649999999 7.46925000001
85 6.8689375 6.27281249999 7.91074999999 5.86568750001 9.03662500001 7.816375
86 6.78956249999 6.15012500001 8.40299999999 5.81275000001 8.5595625 7.7054375
87 6.83806249999 6.11925000001 7.94375 5.774 8.49868750001 7.4129375
88 6.775625 6.02481250001 8.10549999999 5.82743750001 8.5956875 7.7804375
89 6.86187500001 6.16906249999 8.038625 5.99649999999 8.200625 7.895
90 6.799 6.18087500001 8.17656250001 5.76112499999 8.22481249999 7.48631250001
91 6.769375 6.26737499999 8.3361875 5.75062499999 9.20724999999 8.047
92 6.83774999999 5.99493749999 8.281375 6.05893749999 9.26362500001 7.4318125
93 6.86762499999 5.77506250001 7.95875 5.74856249999 9.39550000001 7.674
94 6.80337499999 5.69250000001 8.19487499999 5.85968750001 9.111375 7.41974999999
95 6.83437500001 5.8398125 8.24337499999 5.7163125 9.13681250001 7.7553125
96 6.84931250001 5.72131249999 8.20799999999 5.72524999999 8.86362499999 7.76025000001
97 6.77931250001 5.77868750001 8.34375000001 5.6816875 8.89981249999 7.89581249999
98 6.8094375 5.63006249999 8.06593750001 5.5818125 8.799125 7.9138125
99 6.77487500001 5.728625 8.12643749999 5.40756249999 8.35843749999 7.979625
100 6.80837499999 5.69375000001 8.00012500001 5.41299999999 8.36712499999 8.04174999999
